Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
KOFLER SRL;https://koflerspa.it;https://koflerproject.com/it/;https://koflerproject.com/it/company/;https://www.kofler-fahrzeugbau.it/it/;https://www.koflers-delikatessen.it/it
CLEAF SPA;https://cleaf.it/it/;https://cleaf.it/en/;https://cleaf.it/en/company/;https://cleaf.it/it/news/;https://it.linkedin.com/company/cleaf-spa
SIR INDUSTRIALE S.P.A.;https://sirindustriale.com;https://sirindustriale.com/it/homepage/;https://it.linkedin.com/company/sir-industriale-s.p.a.;https://www.ufficiocamerale.it/2444/sir-industriale-spa;https://sirindustriale.com/it/homepage/sustainibility/
ALFA LAVAL SPA;https://www.alfalaval.it;https://www.alfalaval.com;https://it.wikipedia.org/wiki/Alfa_Laval;https://corporate.alfalaval.com/italian;https://www.alfalaval.com/it/about-us/our-company/
KCS CAREGIVER COOPERATIVA SOCIALE;https://www.consorziokcs.it/le-aziende-del-consorzio/caregiver/chi-e-kcs-caregiver-cooperativa-sociale/;https://www.consorziokcs.it;https://it.linkedin.com/company/kcs-caregiver-cooperativa-sociale;https://peranziani.it/assistenza-domiciliare/kcs-caregiver-cooperativa-sociale/;https://www.lanazione.it/sarzana/cronaca/kcs-caregiver-una-cooperativa-sociale-al-servizio-dei-migranti-cf4f16ad
BRUGOLA COMMERCIALE SPA;https://brugola.com;https://brugola.com/en/;https://www.corriere.it/economia/aziende/24_aprile_19/brugola-dopo-34-anni-la-proprieta-del-gruppo-torna-al-100-della-famiglia-acquistate-le-quote-di-minoranza-b0d26d11-7b3d-473c-b8b8-9565f0f74xlk.shtml;https://www.ilgiorno.it/monza-brianza/cronaca/brugola-ritorno-al-futuro-tenere-insieme-il-mondo-resta-un-affare-di-famiglia-c3033d10;https://www.quattroruote.it/news/industria-finanza/2024/04/19/brugola_l_azienda_torna_al_100_di_proprieta_della_famiglia_del_fondatore.html
STANLEY BLACK & DECKER ITALIA S.R.L.;https://www.stanley.it;https://sbdprivatesales.it;https://www.ufficiocamerale.it/3668/stanley-black-decker-italia-srl;https://www.usag.it/it/chisiamo/marchio;https://www.stanley.it/assistenza-clienti
SYNLAB ITALIA S.R.L.;https://www.synlab.it;https://synlab.it/chi-siamo.html;https://www.synlab.it/servizi/servizi-clinico-diagnostici.html;https://www.synlab.it/chi-siamo/sistema-di-qualita.html;https://specialisti.synlab.it
ELETTRONICA INDUSTRIALE SPA;https://aes-elettronica.com;https://gamelettronica.it;https://it.wikipedia.org/wiki/Elettronica_Industriale;https://www.eitowers.it/azienda/elettronica-industriale/;https://www.eitowers.it/azienda/
HSG S.R.L.;https://www.hsg-group.it/hsg-group/chi-siamo.html;https://www.ufficiocamerale.it/4521/hsg-srl;https://it.linkedin.com/company/hsg-engineering;https://www.hsgindustry.com/it/home/;https://www.hsglaser.com/it/
