184;BURCKHARDT COMPRESSION (ITALIA) S.R.L.;60.257.837;67,40;;Caponago;O;Macchinari;;;;;;;;;;
185;ELEKTA S.P.A.;59.790.000;14,27;;Agrate Brianza;O;Commercio all'ingrosso;;;;;;;;;;
186;BRIVAPLAST S.R.L.;59.452.566;27,27;;Ornago;C;Gomma-plastica;;;;;;;;;;
187;YOU LOG S.P.A.;59.317.598;20,55;;Vimercate;O;Trasporti e logistica;;;;;;;;;;
188;FRETTE S.R.L.;59.062.885;18,46;;Monza;O;Commercio al dettaglio;;;;;;;;;;
189;MACPLAST S.P.A.;58.890.000;-102,61;;Caponago;O;Gomma-plastica;;;;;;;;;;
190;INTERNI S.P.A.;58.854.230;-0,43;;Verano Brianza;O;Commercio al dettaglio;;;;;;;;;;
191;EUROTUBI EUROPA SRL;58.722.089;20,17;;Nova Milanese;O;Prodotti in metallo;;;;;;;;;;
192;STAUBLI ITALIA S.P.A.;58.322.231;9,06;;Carate Brianza;O;Macchinari;;;;;;;;;;
193;OPIS S.R.L. (1) *;58.300.000;n.d.;;Desio;O;Attività professionali;;;;;;;;;;
194;GEORG FISCHER S.P.A.;58.230.454;15,86;;Agrate Brianza;O;Commercio all'ingrosso;;;;;;;;;;
195;MOELLHAUSEN SPA;57.425.191;24,51;;Vimercate;O;Commercio all'ingrosso;;;;;;;;;;
196;O.A. LISSONE S.R.L.;57.127.114;28,88;;Lissone;O;Commercio al dettaglio;;;;;;;;;;
197;JOHN CRANE ITALIA S.P.A.;57.017.148;10,08;;Muggiò;O;Prodotti in metallo;;;;;;;;;;
198;PONZINI HOLDING S.R.L.;56.928.117;9,46;;Lazzate;C;Attività professionali;;;;;;;;;;
199;AUTOGHINZANI BERGAMO SRL;56.572.958;9,85;;Monza;O;Commercio all'ingrosso;;;;;;;;;;
200;BRIANZATENDE S.R.L.;56.216.493;18,33;;Lesmo;O;Legno e arredo;;;;;;;;;;
201;P.M. INTERNATIONAL ITALIA S.R.L.;56.111.023;75,50;;Desio;O;Commercio al dettaglio;;;;;;;;;;
202;TROCELLEN ITALIA S.P.A.;56.002.276;34,88;;Caponago;O;Gomma-plastica;;;;;;;;;;
